epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
100,872.869,2.17107,0.23448,0.77372,1.32641,0.04807,10.1458,0.65562,0.73696,0.70312,0.26232,0.64485,0.80645,0.77535,0.69013,3.1416,0.90834,0.67394,1.52237,0.10284,0,0.0080398,0.0080398,0.0080398
101,881.23,2.19773,0.26156,0.81718,1.40326,0.04932,10.2364,0.71734,0.66667,0.70368,0.31079,0.75951,0.78495,0.79714,0.77582,2.6673,1.22908,0.87995,1.28989,0.08485,0,0.00802,0.00802,0.00802
102,890.176,2.17315,0.19718,0.79377,1.36348,0.04724,9.78373,0.64948,0.67741,0.66752,0.24677,0.70724,0.80528,0.77667,0.65983,3.13814,1.08701,1.08954,1.25505,0.10712,0,0.0080002,0.0080002,0.0080002
103,899.034,2.14478,0.24591,0.77796,1.38762,0.04744,10.0687,0.64725,0.76344,0.73715,0.34514,0.69124,0.76344,0.77997,0.70916,2.651,0.65343,0.79889,1.31841,0.08795,0,0.0079804,0.0079804,0.0079804
104,907.819,2.18229,0.25659,0.82112,1.3523,0.0479,10.195,0.53473,0.67971,0.58211,0.25179,0.57524,0.73118,0.69251,0.54269,2.84242,1.62123,0.71912,1.48414,0.09175,0,0.0079606,0.0079606,0.0079606
105,916.497,2.14259,0.20799,0.83547,1.35833,0.04768,9.76685,0.57045,0.73118,0.59822,0.26469,0.60412,0.78495,0.68494,0.62032,2.75244,1.06279,0.48829,2.06868,0.08488,0,0.0079408,0.0079408,0.0079408
106,925.206,2.06932,0.24584,0.77354,1.36326,0.04479,9.71703,0.57343,0.73721,0.64443,0.30067,0.58506,0.78839,0.69816,0.63123,2.58437,1.24428,1.26932,1.66787,0.07913,0,0.007921,0.007921,0.007921
107,933.444,2.07354,0.22198,0.76364,1.34403,0.04539,9.60675,0.59121,0.62205,0.63767,0.28775,0.61717,0.69892,0.72689,0.66727,2.98483,1.36496,1.15504,1.51602,0.09742,0,0.0079012,0.0079012,0.0079012
108,941.751,2.16121,0.24369,0.74386,1.3416,0.04663,9.54334,0.56111,0.67742,0.52607,0.21955,0.65413,0.79314,0.7309,0.56888,3.15947,1.59087,1.49988,1.52765,0.11053,0,0.0078814,0.0078814,0.0078814
109,950.115,2.07465,0.19994,0.75979,1.27922,0.04521,9.60587,0.50296,0.5767,0.4582,0.12726,0.63544,0.82468,0.77344,0.49103,3.66743,1.63702,1.31557,1.61437,0.13485,0,0.0078616,0.0078616,0.0078616
110,958.452,2.04487,0.21327,0.77532,1.31938,0.04495,9.5844,0.69128,0.66667,0.72797,0.3227,0.72473,0.69892,0.76948,0.74329,2.91022,0.78571,0.62336,1.43831,0.09435,0,0.0078418,0.0078418,0.0078418
111,966.751,2.04468,0.22941,0.76672,1.31976,0.04356,9.3583,0.58641,0.77419,0.69757,0.32102,0.62722,0.83225,0.74118,0.70828,2.60939,0.91271,0.61963,1.39744,0.08017,0,0.007822,0.007822,0.007822
112,975.081,2.10034,0.21312,0.7711,1.28364,0.04599,9.50617,0.63266,0.8172,0.71653,0.2513,0.66596,0.86022,0.80821,0.77206,3.22737,1.05292,0.64688,1.595,0.10756,0,0.0078022,0.0078022,0.0078022
113,983.489,2.0611,0.20705,0.76192,1.28096,0.04579,9.38189,0.62151,0.72043,0.65562,0.25813,0.63534,0.8172,0.75402,0.64034,3.24722,1.69218,0.6086,1.72541,0.1062,0,0.0077824,0.0077824,0.0077824
114,991.859,2.1114,0.17142,0.70816,1.31726,0.0464,9.01434,0.66194,0.7957,0.71469,0.26724,0.70666,0.84946,0.81177,0.75993,3.1627,0.6692,0.52442,1.50209,0.10046,0,0.0077626,0.0077626,0.0077626
115,1000.23,2.05377,0.23806,0.71063,1.29834,0.04534,9.83725,0.42988,0.5914,0.43578,0.10611,0.55017,0.76344,0.63503,0.40205,3.74349,1.78017,0.67365,1.80695,0.13944,0,0.0077428,0.0077428,0.0077428
116,1008.72,2.14267,0.22239,0.82682,1.27327,0.04709,9.34513,0.64207,0.82796,0.8149,0.37787,0.64557,0.8422,0.82126,0.7537,2.65479,0.58282,0.55336,1.13967,0.08058,0,0.007723,0.007723,0.007723
117,1017.35,2.01673,0.23002,0.74235,1.25931,0.04437,9.19047,0.65419,0.75263,0.71613,0.33573,0.65827,0.89247,0.80644,0.7215,2.63108,0.61986,0.66916,1.19461,0.08156,0,0.0077032,0.0077032,0.0077032
118,1025.59,2.04556,0.18796,0.78662,1.30523,0.04504,9.24222,0.57259,0.66265,0.59407,0.22328,0.59472,0.69892,0.66373,0.51459,3.20526,1.58523,0.8103,1.87332,0.10411,0,0.0076834,0.0076834,0.0076834
119,1033.42,2.03023,0.20354,0.73498,1.25353,0.04463,9.2863,0.58605,0.69892,0.66641,0.26086,0.59914,0.74194,0.71508,0.68415,2.78302,0.97616,1.02641,1.54499,0.08528,0,0.0076636,0.0076636,0.0076636
120,1041.27,2.02572,0.20174,0.74591,1.27303,0.04538,9.27327,0.58288,0.75269,0.66732,0.28471,0.64117,0.82796,0.78599,0.73272,2.8633,1.12391,1.13411,1.73902,0.08857,0,0.0076438,0.0076438,0.0076438
121,1049.7,2.10575,0.22884,0.77759,1.27267,0.04677,9.95298,0.62061,0.74194,0.69619,0.26419,0.68218,0.8172,0.7901,0.74634,3.04513,1.20519,1.23105,1.55344,0.09631,0,0.007624,0.007624,0.007624
122,1058.82,2.10884,0.21639,0.7733,1.2929,0.04708,9.62625,0.65351,0.73118,0.71766,0.33191,0.64358,0.87373,0.78222,0.74204,2.68309,0.96543,1.17133,1.41421,0.08296,0,0.0076042,0.0076042,0.0076042
123,1067.33,2.08099,0.19925,0.72317,1.28988,0.04602,9.30089,0.66715,0.78495,0.75945,0.31554,0.68329,0.80645,0.77331,0.7486,2.78372,0.98256,0.91052,1.31569,0.08485,0,0.0075844,0.0075844,0.0075844
124,1075.91,1.95392,0.19819,0.79257,1.28012,0.04274,9.54825,0.68594,0.75269,0.75902,0.29139,0.69605,0.82796,0.83189,0.80148,2.80561,0.68274,0.61034,1.23341,0.08835,0,0.0075646,0.0075646,0.0075646
125,1084.32,1.97787,0.21394,0.78397,1.17895,0.04404,9.38199,0.56508,0.68817,0.66113,0.31044,0.54774,0.84946,0.71725,0.69465,2.54912,0.71801,0.69974,1.38739,0.07803,0,0.0075448,0.0075448,0.0075448
126,1092.84,1.99716,0.20711,0.70792,1.18295,0.0436,9.31295,0.46511,0.69191,0.56365,0.20174,0.61429,0.80645,0.73131,0.71464,3.30549,1.04505,0.96049,1.61562,0.11205,0,0.007525,0.007525,0.007525
127,1101.23,2.03197,0.16873,0.71177,1.23672,0.04446,8.69338,0.31757,0.56989,0.37149,0.13145,0.39389,0.72043,0.54161,0.47466,3.27943,1.45389,0.85861,1.73306,0.11646,0,0.0075052,0.0075052,0.0075052
128,1109.62,2.0374,0.20573,0.66768,1.22599,0.04414,8.9616,0.61308,0.66449,0.63534,0.318,0.74341,0.68539,0.78173,0.72775,2.68575,0.99028,0.60632,1.32602,0.08187,0,0.0074854,0.0074854,0.0074854
129,1117.96,2.13077,0.16649,0.75278,1.22673,0.0475,8.93391,0.70052,0.68817,0.67677,0.29092,0.75525,0.74194,0.79553,0.77034,3.02538,0.9735,0.6141,1.26701,0.10102,0,0.0074656,0.0074656,0.0074656
130,1126.47,2.08414,0.18516,0.73407,1.24318,0.04632,8.74932,0.63223,0.66667,0.64454,0.25429,0.66365,0.74194,0.75339,0.70386,3.16606,1.08191,0.83894,1.71468,0.10423,0,0.0074458,0.0074458,0.0074458
131,1135,2.15436,0.16825,0.71503,1.25004,0.04675,8.66997,0.6782,0.65721,0.70653,0.34408,0.71512,0.70182,0.77571,0.72811,2.61748,1.33019,0.9917,1.3808,0.08265,0,0.007426,0.007426,0.007426
132,1143.38,2.00285,0.18804,0.74721,1.22149,0.04377,8.83582,0.63378,0.77419,0.72686,0.33345,0.66679,0.8172,0.80185,0.77017,2.50316,0.81864,0.71164,1.43251,0.07936,0,0.0074062,0.0074062,0.0074062
133,1151.8,2.00758,0.19002,0.69143,1.23039,0.04453,9.03291,0.66397,0.51613,0.57236,0.25067,0.64415,0.69892,0.72307,0.65694,3.05373,1.34542,0.75526,1.75744,0.10349,0,0.0073864,0.0073864,0.0073864
134,1160.25,1.97635,0.20451,0.67357,1.20446,0.04277,9.0284,0.64326,0.63441,0.63997,0.29325,0.71958,0.70968,0.77224,0.69448,2.8213,1.1785,0.88056,1.23972,0.09258,0,0.0073666,0.0073666,0.0073666
135,1168.53,1.96557,0.17507,0.68237,1.17693,0.04264,8.74483,0.7459,0.69445,0.77385,0.39894,0.7459,0.69445,0.77838,0.7342,2.43559,0.56413,0.5783,1.03942,0.07142,0,0.0073468,0.0073468,0.0073468
136,1176.92,1.98872,0.16411,0.68504,1.1817,0.04406,8.54981,0.69252,0.69892,0.70641,0.31979,0.7346,0.74194,0.76698,0.73957,2.711,1.28655,0.65709,1.18256,0.08294,0,0.007327,0.007327,0.007327
137,1185.37,1.97679,0.16321,0.70203,1.13847,0.0418,8.49762,0.66234,0.58065,0.62393,0.27575,0.69722,0.6129,0.7036,0.60057,3.03261,1.95499,1.18699,1.75502,0.09932,0,0.0073072,0.0073072,0.0073072
138,1194.02,2.08685,0.18758,0.69205,1.16888,0.04665,9.06793,0.57294,0.77419,0.67171,0.28701,0.6716,0.85762,0.79918,0.78362,2.95066,0.82178,0.70241,1.51973,0.09141,0,0.0072874,0.0072874,0.0072874
139,1202.51,2.00082,0.20934,0.72663,1.13281,0.04454,9.35771,0.65429,0.8172,0.79203,0.38931,0.67257,0.82796,0.82779,0.80456,2.49655,0.75312,0.6616,1.18698,0.07475,0,0.0072676,0.0072676,0.0072676
140,1210.92,1.92417,0.17882,0.758,1.14635,0.04199,8.48333,0.39854,0.63414,0.4105,0.14254,0.48406,0.76672,0.57966,0.3262,3.33163,2.21085,1.15502,1.7333,0.11579,0,0.0072478,0.0072478,0.0072478
141,1219.36,1.95724,0.18717,0.71504,1.16493,0.04231,8.85382,0.83108,0.79356,0.82885,0.38352,0.81069,0.83871,0.88108,0.85944,2.62849,0.43704,0.39831,0.99949,0.07917,0,0.007228,0.007228,0.007228
142,1227.82,2.02151,0.17461,0.72348,1.19748,0.04449,8.93225,0.50692,0.51613,0.45566,0.16511,0.58769,0.65591,0.65432,0.43654,3.42836,2.56866,1.2355,1.53467,0.12058,0,0.0072082,0.0072082,0.0072082
143,1236.35,1.96675,0.1591,0.69015,1.16333,0.04299,8.62555,0.68124,0.66644,0.73868,0.35007,0.70355,0.79112,0.80822,0.77439,2.75804,0.51445,0.52476,1.32527,0.08417,0,0.0071884,0.0071884,0.0071884
144,1244.83,1.96013,0.20297,0.71911,1.15108,0.0422,8.63367,0.60594,0.61178,0.62998,0.24973,0.6477,0.75269,0.74059,0.67431,3.15692,0.96703,0.46928,1.72415,0.10596,0,0.0071686,0.0071686,0.0071686
145,1253.32,1.97628,0.14366,0.6793,1.13216,0.043,8.19346,0.61705,0.63441,0.61167,0.26284,0.686,0.77419,0.75653,0.68627,2.94272,1.38049,0.67542,1.71195,0.09705,0,0.0071488,0.0071488,0.0071488
146,1261.72,2.02666,0.16924,0.6793,1.17444,0.04397,8.63271,0.56006,0.5914,0.55953,0.23805,0.63848,0.65591,0.72064,0.61786,3.01368,1.31537,0.53019,1.7692,0.09923,0,0.007129,0.007129,0.007129
147,1270.22,2.04645,0.19959,0.66892,1.16254,0.04529,9.11392,0.7269,0.69892,0.78762,0.34173,0.78398,0.66342,0.82626,0.78719,2.74454,0.69446,0.54185,1.06319,0.08459,0,0.0071092,0.0071092,0.0071092
148,1278.74,1.96127,0.16091,0.67774,1.207,0.04321,8.76894,0.71736,0.76416,0.8197,0.35128,0.73835,0.78495,0.85803,0.84293,2.64994,0.28914,0.49272,1.03084,0.08122,0,0.0070894,0.0070894,0.0070894
149,1287.21,1.90587,0.16615,0.647,1.13725,0.04128,8.58254,0.64533,0.70436,0.71959,0.31083,0.70339,0.82796,0.82394,0.80264,2.96341,1.3917,0.57424,1.19581,0.0942,0,0.0070696,0.0070696,0.0070696
150,1295.71,1.93488,0.19979,0.69465,1.15537,0.04256,9.04715,0.62412,0.65591,0.6402,0.24799,0.66541,0.82796,0.83126,0.74303,3.189,1.69302,0.8621,1.35168,0.10657,0,0.0070498,0.0070498,0.0070498
151,1304.17,1.9768,0.18038,0.70802,1.14218,0.04402,8.77048,0.4921,0.66667,0.5187,0.20921,0.60031,0.79136,0.68718,0.50166,3.24378,1.80792,0.98226,1.42235,0.10736,0,0.00703,0.00703,0.00703
152,1312.68,2.03366,0.188,0.69982,1.17802,0.04567,8.80613,0.82669,0.72043,0.83169,0.42438,0.73764,0.86022,0.90548,0.8481,2.575,0.72375,0.55913,0.97419,0.08003,0,0.0070102,0.0070102,0.0070102
153,1321.12,1.97455,0.18069,0.64704,1.1334,0.04452,8.88862,0.61698,0.62366,0.58141,0.22147,0.74213,0.75269,0.79298,0.74986,3.42743,0.76303,0.65252,1.43062,0.11645,0,0.0069904,0.0069904,0.0069904
154,1329.67,2.00977,0.17501,0.62779,1.15096,0.04395,8.77676,0.49292,0.43011,0.38699,0.18295,0.56196,0.49462,0.505,0.42619,3.23294,1.31611,0.80185,1.84593,0.10809,0,0.0069706,0.0069706,0.0069706
155,1338.21,1.97204,0.1632,0.6378,1.20127,0.04241,8.49816,0.7806,0.77419,0.79302,0.37461,0.77195,0.80645,0.83043,0.81479,2.67233,0.56145,0.43545,1.23178,0.08266,0,0.0069508,0.0069508,0.0069508
156,1347.29,1.94935,0.16978,0.60551,1.15343,0.04234,8.45472,0.52875,0.72043,0.6267,0.28057,0.56032,0.76344,0.69585,0.64815,2.90552,0.89102,0.48703,1.42936,0.0927,0,0.006931,0.006931,0.006931
157,1355.89,1.96464,0.15944,0.6321,1.17423,0.0419,8.00539,0.60166,0.65591,0.65005,0.30172,0.64266,0.83871,0.77609,0.73575,2.71799,1.21266,1.30882,2.19464,0.08776,0,0.0069112,0.0069112,0.0069112
158,1363.57,1.96469,0.17825,0.6735,1.16278,0.04358,8.70971,0.49685,0.64516,0.5218,0.1722,0.66166,0.87097,0.78395,0.69417,3.76852,1.48674,1.13021,1.77789,0.13859,0,0.0068914,0.0068914,0.0068914
159,1371.06,2.00178,0.13996,0.64868,1.14164,0.04452,8.34795,0.76186,0.86022,0.84493,0.42794,0.77919,0.90323,0.89496,0.85699,2.46038,0.32522,0.51532,1.06785,0.07304,0,0.0068716,0.0068716,0.0068716
160,1378.63,1.94386,0.15361,0.65357,1.12686,0.04112,8.25841,0.76645,0.70578,0.7304,0.28528,0.78464,0.82273,0.87973,0.85363,3.04713,0.92234,0.78073,1.3643,0.09985,0,0.0068518,0.0068518,0.0068518
161,1387.42,2.00664,0.13983,0.61793,1.1711,0.04379,8.27621,0.69098,0.76943,0.75737,0.28163,0.75925,0.83871,0.88351,0.84453,3.17582,0.53239,0.36507,1.1909,0.10163,0,0.006832,0.006832,0.006832
162,1395.97,1.92541,0.15508,0.64454,1.11586,0.04123,8.3789,0.60782,0.71663,0.68931,0.31024,0.61501,0.91398,0.83079,0.80261,2.88589,0.54948,0.50194,1.21242,0.09205,0,0.0068122,0.0068122,0.0068122
163,1404.45,2.03433,0.18785,0.67198,1.14795,0.0445,8.75517,0.6242,0.78585,0.74739,0.28477,0.66271,0.86022,0.84023,0.80829,3.17726,0.48909,0.54995,1.02372,0.10311,0,0.0067924,0.0067924,0.0067924
164,1412.96,1.97011,0.17152,0.63025,1.14549,0.04323,8.57061,0.6842,0.70968,0.69082,0.32591,0.72297,0.8172,0.81197,0.69839,2.74347,0.92569,0.54566,1.09878,0.08628,0,0.0067726,0.0067726,0.0067726
165,1421.73,1.98908,0.15997,0.63331,1.08475,0.04429,8.37929,0.69228,0.7983,0.79375,0.36995,0.7519,0.87987,0.87368,0.82032,2.66935,0.64071,0.50942,1.14692,0.0805,0,0.0067528,0.0067528,0.0067528
166,1430.29,1.93459,0.15593,0.60519,1.04936,0.04197,8.00852,0.78491,0.75269,0.84213,0.44577,0.80785,0.77419,0.88055,0.82498,2.43765,0.56626,0.45227,0.92009,0.07085,0,0.006733,0.006733,0.006733
167,1438.85,1.97922,0.19511,0.64971,1.14415,0.04342,8.64471,0.75042,0.77594,0.81993,0.407,0.77219,0.80186,0.87326,0.8385,2.68812,0.48449,0.44515,0.93456,0.08523,0,0.0067132,0.0067132,0.0067132
168,1447.3,1.95081,0.18027,0.63524,1.07238,0.04284,8.57111,0.67506,0.80645,0.79221,0.35432,0.73066,0.78762,0.82052,0.80074,2.88201,0.57542,0.39861,1.16155,0.09155,0,0.0066934,0.0066934,0.0066934
169,1456.22,1.97013,0.1439,0.62271,1.10898,0.04176,7.88071,0.66883,0.74194,0.74024,0.31694,0.72649,0.80645,0.8282,0.81235,3.18092,0.62885,0.46715,1.13189,0.10487,0,0.0066736,0.0066736,0.0066736
170,1464.78,1.96818,0.13973,0.62397,1.10462,0.04291,8.03238,0.64088,0.80645,0.69755,0.28784,0.70718,0.90323,0.84856,0.7953,3.03849,0.73871,0.45241,1.33853,0.09941,0,0.0066538,0.0066538,0.0066538
171,1473.33,1.94562,0.14986,0.6196,1.04527,0.04274,7.8304,0.76483,0.80435,0.83285,0.39627,0.76397,0.87011,0.87359,0.8179,2.57089,0.6184,0.46842,1.16834,0.07749,0,0.006634,0.006634,0.006634
172,1481.77,1.97137,0.12917,0.62275,1.03752,0.04256,7.94812,0.74544,0.7957,0.80901,0.42249,0.71346,0.83001,0.82829,0.82151,2.32301,0.29446,0.44069,1.11826,0.06696,0,0.0066142,0.0066142,0.0066142
173,1490.58,1.98743,0.15746,0.6327,1.04603,0.04272,8.04386,0.70425,0.71696,0.74775,0.3816,0.76858,0.77419,0.83467,0.79727,2.46688,0.59434,0.53021,1.02075,0.07563,0,0.0065944,0.0065944,0.0065944
174,1499.12,2.04608,0.1783,0.68001,1.04491,0.04505,8.40899,0.69198,0.80645,0.79604,0.41948,0.76251,0.86022,0.87025,0.84698,2.45799,1.17279,0.43407,0.9392,0.07343,0,0.0065746,0.0065746,0.0065746
175,1507.57,1.88282,0.15777,0.65607,1.05026,0.04026,8.09166,0.66189,0.76344,0.75294,0.40691,0.64717,0.82837,0.82001,0.76977,2.52298,1.28862,0.38652,1.04063,0.07886,0,0.0065548,0.0065548,0.0065548
176,1516.27,1.90069,0.16597,0.62548,1.03384,0.04197,8.42604,0.82963,0.77419,0.81212,0.45017,0.82189,0.78495,0.8542,0.83982,2.40896,0.50552,0.29483,0.9656,0.0735,0,0.006535,0.006535,0.006535
177,1525.06,1.87344,0.1102,0.63194,1.03986,0.04079,7.4344,0.78652,0.87097,0.8802,0.4859,0.7944,0.91404,0.90135,0.88501,2.29422,0.44043,0.3208,0.81811,0.06901,0,0.0065152,0.0065152,0.0065152
178,1533.53,1.88257,0.14939,0.60978,1.07361,0.0405,7.71453,0.8377,0.74194,0.85057,0.38926,0.86764,0.78495,0.92123,0.90794,2.73917,0.39538,0.34176,0.84851,0.0857,0,0.0064954,0.0064954,0.0064954
179,1541.9,1.99423,0.15703,0.65626,1.07309,0.04274,8.30082,0.7185,0.73118,0.77744,0.3535,0.74038,0.7973,0.82886,0.78089,2.83006,0.76598,0.46523,0.96072,0.09051,0,0.0064756,0.0064756,0.0064756
180,1550.41,1.91898,0.14848,0.62622,1.0348,0.04173,7.81778,0.67666,0.82796,0.81338,0.41118,0.7667,0.76344,0.86389,0.85872,2.43621,0.21421,0.39382,0.95171,0.07228,0,0.0064558,0.0064558,0.0064558
181,1559.08,1.89289,0.12262,0.57732,1.06482,0.04041,7.24398,0.51682,0.62366,0.56688,0.20313,0.67148,0.68817,0.74769,0.61947,3.37005,1.44628,0.85275,1.52393,0.11778,0,0.006436,0.006436,0.006436
182,1567.48,1.84742,0.11895,0.60736,0.98985,0.04075,7.49044,0.77808,0.83871,0.83645,0.4626,0.78806,0.84946,0.86132,0.84183,2.27351,0.31441,0.48547,0.84696,0.06617,0,0.0064162,0.0064162,0.0064162
183,1575.89,1.92863,0.14138,0.5995,1.04,0.04219,7.64142,0.59143,0.75269,0.69434,0.37705,0.65094,0.82796,0.80973,0.7835,2.47387,0.50188,0.59349,1.02384,0.07623,0,0.0063964,0.0063964,0.0063964
184,1584.27,1.92176,0.12974,0.58452,1.06525,0.042,7.42139,0.73531,0.7468,0.7506,0.39959,0.80861,0.81774,0.87413,0.86633,2.44554,0.35922,0.48986,0.97167,0.07456,0,0.0063766,0.0063766,0.0063766
185,1592.93,1.85315,0.13,0.61021,1.05194,0.03964,7.55456,0.76319,0.79706,0.81924,0.3945,0.79389,0.82836,0.8763,0.8687,2.69501,0.24938,0.4656,1.07049,0.08168,0,0.0063568,0.0063568,0.0063568
186,1601.85,1.87745,0.13313,0.56065,1.06894,0.041,7.41336,0.8016,0.70968,0.77926,0.33975,0.71724,0.87097,0.87262,0.83073,2.83152,0.57797,0.62106,1.11783,0.08837,0,0.006337,0.006337,0.006337
187,1610.62,1.85796,0.14939,0.59521,1.085,0.03948,7.91801,0.82005,0.80645,0.8498,0.43781,0.82005,0.80645,0.87167,0.85595,2.5113,0.52306,0.36572,0.89107,0.0785,0,0.0063172,0.0063172,0.0063172
188,1618.57,1.92197,0.131,0.55052,1.07489,0.04165,7.8094,0.83439,0.82796,0.86802,0.50783,0.79927,0.89915,0.89039,0.87775,2.25205,0.46321,0.41077,0.76625,0.06843,0,0.0062974,0.0062974,0.0062974
189,1626.09,1.91937,0.13167,0.57712,1.02668,0.04193,7.88365,0.83345,0.80711,0.88513,0.4644,0.78805,0.91398,0.9226,0.90245,2.40268,0.53955,0.37043,1.01795,0.07392,0,0.0062776,0.0062776,0.0062776
190,1634.26,1.85756,0.12623,0.53312,1.01011,0.04011,7.64416,0.82079,0.82796,0.87556,0.48645,0.88326,0.89496,0.94781,0.91448,2.2617,0.43335,0.33426,0.72604,0.0676,0,0.0062578,0.0062578,0.0062578
191,1642.64,1.91646,0.13562,0.5962,1.05081,0.04169,7.80625,0.82615,0.89247,0.86418,0.41963,0.87637,0.94624,0.9544,0.93089,2.59031,0.36739,0.34306,0.72482,0.07992,0,0.006238,0.006238,0.006238
192,1650.77,1.91514,0.13241,0.56573,0.9576,0.04168,7.47216,0.83323,0.82796,0.86435,0.49637,0.84079,0.84946,0.91048,0.89554,2.38399,0.3732,0.32679,0.80695,0.07179,0,0.0062182,0.0062182,0.0062182
193,1659.09,1.88351,0.12264,0.5804,0.9799,0.04097,7.28504,0.59899,0.77419,0.65594,0.28861,0.65469,0.88172,0.79159,0.76724,3.1209,0.51261,0.49411,1.31127,0.10418,0,0.0061984,0.0061984,0.0061984
194,1667.43,1.93967,0.10854,0.5277,0.98344,0.04278,7.3928,0.82249,0.76344,0.81268,0.42788,0.85747,0.7957,0.8747,0.85208,2.28947,0.33448,0.38972,1.01203,0.06756,0,0.0061786,0.0061786,0.0061786
195,1675.69,1.9162,0.15483,0.56921,1.00142,0.04244,7.59738,0.46149,0.62366,0.51042,0.18991,0.63958,0.68817,0.7077,0.55955,3.46765,1.62112,1.50234,1.49091,0.1298,0,0.0061588,0.0061588,0.0061588
196,1684,1.82053,0.13226,0.54854,0.96989,0.03974,7.55261,0.73183,0.73362,0.74576,0.30864,0.80761,0.81252,0.87098,0.8059,3.10515,0.8097,0.48861,0.94722,0.10172,0,0.006139,0.006139,0.006139
197,1692.33,1.92219,0.11925,0.5803,1.02075,0.04268,7.64689,0.82445,0.75753,0.83675,0.44644,0.81005,0.82796,0.89669,0.87997,2.4021,0.31135,0.37544,0.87178,0.07181,0,0.0061192,0.0061192,0.0061192
198,1700.7,1.90069,0.1214,0.58198,1.03885,0.04119,7.74179,0.68552,0.7957,0.72154,0.35898,0.75396,0.87097,0.85671,0.77724,2.49605,0.59587,0.80915,1.05337,0.07618,0,0.0060994,0.0060994,0.0060994
199,1709.06,1.87552,0.14011,0.57641,1.04178,0.03964,7.51957,0.64415,0.8175,0.74722,0.3493,0.70346,0.89277,0.85279,0.77553,2.78638,0.64161,0.68793,0.98131,0.08748,0,0.0060796,0.0060796,0.0060796
